src,dst,edge_betweenness,median_delay,pct_delayed,trip_volume
IND000000ACB,IND131028AAB,0.047097084466199715,1.0,0.43350604490500866,73
IND562132AAA,IND000000ACB,0.046555848130036395,1.470588235,0.8098644578313253,35
IND160002AAC,IND562132AAA,0.04469564582509972,1.5,0.8625,1
IND562132AAA,IND683511AAA,0.04267275517864767,1.519568151,0.8214285714285714,2
IND562132AAA,IND712311AAA,0.039572947071530494,1.764705882,0.9719626168224299,3
IND781018AAB,IND110037AAM,0.03913408535027197,1.75,0.88625,12
IND000000ACB,IND712311AAA,0.03906901001366582,1.631578947,0.8942307692307693,34
IND411033AAA,IND000000ACB,0.03102982513780893,1.5,0.7280966767371602,13
IND000000ACB,IND209304AAA,0.029599754935805564,1.826086957,0.8603351955307262,10
IND000000ACB,IND501359AAE,0.028736316323275227,1.611111111,0.8194207836456558,21
IND000000ACB,IND382430AAB,0.02781177038246839,1.590909091,0.9030023094688222,13
IND562132AAA,IND501359AAE,0.026223773448945227,1.5147058825,0.8863636363636364,2
IND562132AAA,IND600056AAB,0.025805545371000844,1.333333333,0.6752136752136753,9
IND562132AAA,IND302014AAA,0.024922266716822294,1.617216117,0.8223140495867769,7
IND000000ACB,IND302014AAA,0.024392934405647906,1.6,0.8888888888888888,24
IND712311AAA,IND781018AAB,0.024352460720685545,2.423076923,1.0,5
IND000000ACB,IND842001AAA,0.02422469085247104,1.6203346205,0.8949771689497716,12
IND000000ACB,IND462022AAA,0.0216113605665681,1.454545455,0.7218543046357616,12
IND160002AAC,IND000000ACB,0.020189226381224022,1.733333333,0.9637931034482758,54
IND110037AAM,IND000000ACB,0.020159069517918734,1.5762962965,0.875,12
IND131028AAB,IND244235AAA,0.018712333680930865,1.447222222,0.5681818181818182,15
IND712311AAA,IND713205AAB,0.018711540079264937,1.8819444445,1.0,7
IND781018AAB,IND785001AAA,0.018682176817625577,2.083881579,0.875,2
IND244235AAA,IND244901AAB,0.017742552445166093,1.3944444445,0.5714285714285714,14
IND424006AAA,IND421302AAG,0.017741758843500165,1.952380952,0.9518072289156626,7
IND712311AAA,IND742101AAC,0.01764176503359316,2.5486111114999996,0.984375,8
IND562132AAA,IND421302AAG,0.017568753680327728,1.473684211,0.8062015503875969,7
IND000000ACB,IND600056AAB,0.017463998260425148,1.612903226,0.8546762589928057,10
IND691001AAB,IND683511AAA,0.016783088031058397,1.333333333,0.6825396825396826,9
IND501359AAE,IND505001AAB,0.016702140661133676,1.2650000000000001,0.625,2
IND000000ACB,IND751002AAB,0.016014881618439496,1.5,0.7899045020463847,13
IND273014AAB,IND209304AAA,0.015808545185298055,1.8918128655,0.8181818181818182,3
IND712311AAA,IND826004AAA,0.015318892957420097,1.1413953490000002,0.4375,3
IND462022AAA,IND842003AAB,0.014818923907885069,1.959742351,1.0,5
IND785001AAA,IND785682AAA,0.014810194289559854,1.8,1.0,11
IND501359AAE,IND712311AAA,0.014612587474743628,1.763305322,0.9545454545454546,2
IND854326AAB,IND000000ACB,0.014534814511482624,1.555555556,0.8137583892617449,12
IND000000ACB,IND474003AAA,0.014241181895089034,1.5,0.6923076923076923,2
IND000000ACB,IND521225AAB,0.014191184990135532,1.5,0.7973421926910299,5
IND411033AAA,IND562132AAA,0.014064208723586954,1.5,0.8168168168168168,10
IND302014AAA,IND305001AAC,0.01372137280390579,2.0544117645,0.9696969696969697,11
IND562132AAA,IND518002AAA,0.013023003337888608,1.311422414,0.6369047619047619,12
IND785682AAA,IND786001AAB,0.012856346988043598,2.0,1.0,10
IND562132AAA,IND573201AAB,0.012669056994884444,1.5,0.7857142857142857,16
IND302014AAA,IND110037AAM,0.01206353892378091,1.428571429,0.7142857142857143,7
IND501359AAE,IND506002AAA,0.01188497854894697,1.75,0.9857142857142858,10
IND302014AAA,IND303702AAB,0.011855615287307612,2.210526316,0.9230769230769231,6
IND000000ACA,IND160002AAC,0.011723083809097532,1.8708333335,0.9631147540983607,60
IND751002AAB,IND530012AAA,0.011681022920803317,1.571428571,0.8959537572254336,10
IND562132AAA,IND515004AAA,0.011307236536150938,1.333333333,0.6296296296296297,9
IND421302AAG,IND110037AAM,0.01130564933281908,1.666666667,0.8716502115655853,14
IND209304AAA,IND211002AAB,0.011075504849699781,1.3390804594999999,0.5634920634920635,14
IND000000ACB,IND421302AAG,0.011052490401387852,1.647058824,0.8920409771473601,26
IND562132AAA,IND570020AAA,0.010912022906518486,1.070197044,0.24074074074074073,9
IND691001AAB,IND695012AAA,0.010912022906518486,1.285714286,1.0,1
IND382430AAB,IND384205AAA,0.010903293288193271,1.238095238,0.5102040816326531,13
IND575004AAB,IND562132AAA,0.010671561601742116,1.7454545455,0.9615384615384616,4
IND562132AAA,IND416012AAA,0.010523158090213463,1.411764706,0.8053691275167785,12
IND302014AAA,IND306401AAB,0.01029618801375788,2.1176470585000002,0.9615384615384616,2
IND000000ACB,IND201301AAF,0.010065249928972652,1.264912281,0.55,9
IND382430AAB,IND395023AAA,0.010058901115645223,1.63245614,0.884,25
IND683511AAA,IND686028AAB,0.009927956840767001,1.5483870965,0.9,7
IND530012AAA,IND532001AAB,0.009927956840767001,1.666666667,0.9333333333333333,15
IND712311AAA,IND712310AAE,0.009927956840767001,1.666666667,1.0,1
IND263153AAB,IND131028AAB,0.009920020824107714,1.695652174,0.8899082568807339,10
IND600056AAB,IND605010AAB,0.009920020824107714,1.416666667,0.8831168831168831,13
IND303702AAB,IND332001AAB,0.009889070359136498,1.4852941175,1.0,3
IND302014AAA,IND313001AAB,0.009654957867687556,1.707142857,0.9830508474576272,8
IND000000ACB,IND125005AAA,0.009240697798072819,1.5750000000000002,0.9642857142857143,4
IND501359AAE,IND500039AAC,0.008942303571683657,1.75,0.9047619047619048,6
IND411033AAA,IND431136AAC,0.008942303571683657,2.0,0.9833333333333333,12
IND209304AAA,IND110037AAM,0.008905004293385014,1.571428571,0.8363636363636363,4
IND205001AAB,IND110037AAM,0.008748664765197076,1.944444444,0.8181818181818182,1
IND562132AAA,IND395023AAA,0.0086994614619095,1.52173913,0.851063829787234,1
IND562132AAA,IND580028AAA,0.008689144640252429,1.685855263,1.0,1
IND411033AAA,IND403726AAA,0.008620101295316639,1.6771235525,0.8502994011976048,20
IND600056AAB,IND530012AAA,0.008490744223770275,1.454545455,0.8541666666666666,2
IND000000ACB,IND125001AAA,0.008184413980721828,1.6324999999999998,0.9489795918367347,14
IND781018AAB,IND788026AAC,0.007955063099268458,2.6,0.9887640449438202,12
IND712311AAA,IND732103AAB,0.007955063099268458,2.5357142855,1.0,3
IND712311AAA,IND721306AAA,0.007955063099268458,1.8708333335,0.95,8
IND501359AAE,IND585104AAA,0.0079479206842751,1.6055555555,0.7727272727272727,14
IND411033AAA,IND431603AAA,0.0079479206842751,1.833333333,1.0,15
IND781018AAB,IND784168AAB,0.007916970219303885,2.2273391814999997,1.0,1
IND000000ACB,IND821115AAB,0.007899510982653455,1.764705882,0.8800773694390716,14
IND411033AAA,IND400072AAB,0.007865386111018524,1.925925926,0.72,5
IND562132AAA,IND560300AAA,0.007809040392737593,1.5,0.75,100
IND501359AAE,IND523002AAA,0.0074090651531095696,1.5,0.7552447552447552,12
IND521225AAB,IND507002AAA,0.0073622426548197815,1.4095860565,0.6875,14
IND501359AAE,IND533106AAA,0.007326530579852993,2.0,0.9754901960784313,12
IND421302AAG,IND712311AAA,0.007266216853242418,1.764705882,0.8865979381443299,4
IND421302AAG,IND422011AAD,0.006966235423521401,1.6875,0.891566265060241,14
IND600056AAB,IND605601AAA,0.006966235423521401,1.333333333,0.6571428571428571,6
